generic_name,status,pmid,label,year,first_author,title,pub_types,reason,url
clobazam,rejected,29540584,,2018,Devinsky,"Randomized, dose-ranging safety trial of cannabidiol in Dravet syndrome.","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/29540584/
clobazam,rejected,28958437,,2017,Tolbert,A Thorough QT/QTc Study of Clobazam in Healthy Volunteers.,"Clinical Trial, Phase I; Journal Article; Randomized Controlled Trial",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/28958437/
clobazam,rejected,26245776,,2015,Paolicchi,Clobazam and Aggression-Related Adverse Events in Pediatric Patients With Lennox-Gastaut Syndrome.,"Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",title lacks primary randomized/placebo/phase trial language,https://pubmed.ncbi.nlm.nih.gov/26245776/
clobazam,rejected,25223728,,2014,Borlot,A pilot double-blind trial using verapamil as adjuvant therapy for refractory seizures.,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/25223728/
clobazam,rejected,15875342,,2005,PMID,Stiripentol: new preparation. Severe myoclonic epilepsy of infancy: promising.,Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/15875342/
clobazam,rejected,15684445,,2005,Rose,Intermittent clobazam therapy in febrile seizures.,Journal Article; Randomized Controlled Trial,title lacks primary randomized/placebo/phase trial language,https://pubmed.ncbi.nlm.nih.gov/15684445/
clobazam,rejected,11089822,,2000,Chiron,Stiripentol in severe myoclonic epilepsy in infancy: a randomised placebo-controlled syndrome-dedicated trial. STICLO study group.,"Clinical Trial; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/11089822/
clobazam,rejected,2207888,,1990,Keene,Clobazam as an add-on drug in the treatment of refractory epilepsy of childhood.,Clinical Trial; Controlled Clinical Trial; Journal Article,no randomized language,https://pubmed.ncbi.nlm.nih.gov/2207888/
clobazam,rejected,3115770,,1987,Koeppen,Clobazam in therapy-resistant patients with partial epilepsy: a double-blind placebo-controlled crossover study.,Clinical Trial; Controlled Clinical Trial; Journal Article,no randomized language,https://pubmed.ncbi.nlm.nih.gov/3115770/
clobazam,rejected,6123810,,1982,Feely,Clobazam in catamenial epilepsy. A model for evaluating anticonvulsants.,Clinical Trial; Journal Article; Randomized Controlled Trial,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/6123810/
clonazepam,included,26627366,Navarro2015,2015,Navarro,"Prehospital treatment with levetiracetam plus clonazepam or placebo plus clonazepam in status epilepticus (SAMUKeppra): a randomised, double-blind, phase 3 trial.","Clinical Trial, Phase III; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/26627366/
clonazepam,included,10714402,Dahlin2000,2000,Dahlin,Reduction of epileptiform activity in response to low-dose clonazepam in children with epilepsy: a randomized double-blind study.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/10714402/
clonazepam,rejected,35987013,,2022,Baek,"Safety and efficacy of clonazepam in patients with hemifacial spasm: A double-blind, randomized, placebo-controlled trial.","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/35987013/
clonazepam,rejected,31675621,,2019,Moseley,Pharmacokinetic interaction of brivaracetam on other antiepileptic drugs in adults with focal seizures: Pooled analysis of data from randomized clinical trials.,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/31675621/
clonazepam,rejected,28090524,,2016,Schomer,The SAMUKeppra study in prehospital status epilepticus: lessons for future study.,Journal Article; Comment,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/28090524/
clonazepam,rejected,26666500,,2015,Kälviäinen,"Brivaracetam in Unverricht-Lundborg disease (EPM1): Results from two randomized, double-blind, placebo-controlled studies.","Clinical Trial, Phase III; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/26666500/
clonazepam,rejected,21967362,,2011,Navarro,A prehospital randomized trial in convulsive status epilepticus.,"Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/21967362/
clonazepam,rejected,15875342,,2005,PMID,Stiripentol: new preparation. Severe myoclonic epilepsy of infancy: promising.,Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/15875342/
clonazepam,rejected,2289472,,1990,Rockstroh,Hyperventilation-induced EEG changes in humans and their modulation by an anticonvulsant drug.,"Clinical Trial; Controlled Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/2289472/
clonazepam,rejected,3327370,,1987,Altamura,Clonazepam/haloperidol combination therapy in schizophrenia: a double blind study.,Clinical Trial; Controlled Clinical Trial; Journal Article,title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/3327370/
clonazepam,rejected,6312008,,1983,Hrachovy,Double-blind study of ACTH vs prednisone therapy in infantile spasms.,"Clinical Trial; Controlled Clinical Trial; Journal Article; Research Support, U.S. Gov't, P.H.S.",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/6312008/
diazepam,included,33465768,vanTuijl2021,2021,van Tuijl,Treatment with Diazepam in Acute Stroke Prevents Poststroke Seizures: A Substudy of the EGASIS Trial.,Journal Article; Multicenter Study; Randomized Controlled Trial,qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/33465768/
diazepam,included,9818845,Cereghino1998,1998,Cereghino,Treating repetitive seizures with a rectal diazepam formulation: a randomized study. The North American Diastat Study Group.,"Clinical Trial; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/9818845/
diazepam,included,7776115,Uhari1995,1995,Uhari,Effect of acetaminophen and of low intermittent doses of diazepam on prevention of recurrences of febrile seizures.,"Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/7776115/
diazepam,included,8510706,Rosman1993,1993,Rosman,A controlled trial of diazepam administered during febrile illnesses to prevent recurrence of febrile seizures.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/8510706/
diazepam,included,2202804,Autret1990,1990,Autret,"Double-blind, randomized trial of diazepam versus placebo for prevention of recurrence of febrile seizures.",Clinical Trial; Journal Article; Randomized Controlled Trial,qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/2202804/
diazepam,rejected,33368617,,2020,Segura,A reappraisal of acute doses of benzodiazepines as a model of anterograde amnesia.,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/33368617/
diazepam,rejected,26554812,,2015,Kellinghaus,Making SENSE--Sustained Effort Network for treatment of Status Epilepticus as a multicenter prospective registry.,"Journal Article; Multicenter Study; Observational Study; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/26554812/
diazepam,rejected,25245814,,2014,Premoli,Characterization of GABAB-receptor mediated neurotransmission in the human cortex by paired-pulse TMS-EEG.,Journal Article; Randomized Controlled Trial,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/25245814/
diazepam,rejected,24964913,,2014,Rogin,Safety and effectiveness of long-term treatment with diazepam auto-injector administered by caregivers in an outpatient setting for the treatment of acute repetitive seizures.,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/24964913/
diazepam,rejected,24741050,,2014,Premoli,TMS-EEG signatures of GABAergic neurotransmission in the human cortex.,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/24741050/
diazepam,rejected,24111974,,2013,Abou-Khalil,"A double-blind, randomized, placebo-controlled trial of a diazepam auto-injector administered by caregivers to patients with epilepsy who require intermittent intervention for acute repetitive seizures.","Clinical Trial, Phase III; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/24111974/
diazepam,rejected,23806032,,2013,Ohlraun,"CARbon DIoxide for the treatment of Febrile seizures: rationale, feasibility, and design of the CARDIF-study.","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/23806032/
diazepam,rejected,22295898,,2012,Hardy,"Double-masked, placebo-controlled study of intravenous levetiracetam for the treatment of status epilepticus and acute repetitive seizures in dogs.","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/22295898/
diazepam,rejected,18166545,,2008,Mpimbaza,Comparison of buccal midazolam with rectal diazepam in the treatment of prolonged seizures in Ugandan children: a randomized clinical trial.,"Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",active-comparator/comparison title without placebo,https://pubmed.ncbi.nlm.nih.gov/18166545/
diazepam,rejected,17576772,,2007,Cleveland,"Ziprasidone, diazepam, or the combination for prevention of cocaine toxicity in a mouse model.","Comparative Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/17576772/
diazepam,rejected,15813357,,2005,Basnec,[The risk of second seizure in children with benign childhood epilepsy with centrotemporal spikes without treatment--a prospective study].,Clinical Trial; Journal Article; Multicenter Study; Randomized Controlled Trial,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/15813357/
diazepam,rejected,15684445,,2005,Rose,Intermittent clobazam therapy in febrile seizures.,Journal Article; Randomized Controlled Trial,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/15684445/
diazepam,rejected,15110023,,2004,Riddle,The effect of carbamazepine on human corticomuscular coherence.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/15110023/
diazepam,rejected,12470180,,2002,Cereghino,Rectal diazepam gel for treatment of acute repetitive seizures in adults.,"Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/12470180/
diazepam,rejected,11736860,,2001,Lindhardt,Electroencephalographic effects and serum concentrations after intranasal and intravenous administration of diazepam to healthy volunteers.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/11736860/
diazepam,rejected,11547716,,2001,Alldredge,"A comparison of lorazepam, diazepam, and placebo for the treatment of out-of-hospital status epilepticus.","Clinical Trial; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/11547716/
